cid,AreaAc,AreaSqM,AreaSqFt,B1_mean,B2_mean,B3_mean,B4_mean,NDVI,GNDVI
B208-37,0.00006487667,0.26254655192,2.82601626100,27365.61643840000,8814.56164384000,47970.79452050000,43490.13698630000,0.66295335315,0.22756826042
B208-41,0.00016452825,0.66582220135,7.16682186139,26760.25988700000,8553.62711864000,43954.15819210000,39377.58757060000,0.64308740456,0.19077318311
B208-42,0.00007540400,0.30514916110,3.28458509547,28098.50632910000,8530.41772152000,47567.79746840000,42030.08860760000,0.66256596934,0.19865765586
B211-49,0.00010146684,0.41062174445,4.41987799282,26312.02803740000,8211.78504673000,43970.62616820000,39652.09345790000,0.65686921732,0.20223213950
B211-56,0.00018126146,0.73353908355,7.89571739950,24593.71428570000,8449.92346939000,39382.71938780000,35457.34183670000,0.61510135462,0.18090651943
B211-59,0.00019028080,0.77003907991,8.28859851901,27375.29523810000,10381.04285710000,42394.23333330000,37458.48095240000,0.56600559410,0.15552365305
B216-54,0.00007098862,0.28728073881,3.09225176796,29760.97333330000,10369.00000000000,46140.01333330000,42140.62666670000,0.60506289387,0.17217493538
B216-58,0.00006516469,0.26371213270,2.83856241789,29886.74285710000,11014.10000000000,43977.15714290000,40394.10000000000,0.57150415692,0.14950528075
B305-1,0.00017509494,0.70858407870,7.62710503728,25501.19576720000,9469.44444444000,40390.10582010000,37909.14814810000,0.60026484848,0.19567710274
B305-3,0.00020474893,0.82858952750,8.91882777080,25721.63133640000,8895.42396313000,41657.70046080000,39414.73271890000,0.63173690279,0.21022207151
B305-51,0.00014069207,0.56936062441,6.12852224183,25518.85430460000,8638.95364238000,40721.09933770000,39362.71523180000,0.64005611284,0.21337123972
B306-2,0.00011946611,0.48346217748,5.20392275247,28773.17829460000,9396.66666667000,49970.52713180000,46058.56589150000,0.66110802414,0.23099004019
B306-4,0.00015087990,0.61058928184,6.57230204184,27138.11834320000,7229.44970414000,48338.59763310000,46301.14792900000,0.72989467617,0.26093710570
B306-5,0.00022792912,0.92239641877,9.92855270599,26649.41832670000,7973.62151394000,44970.27888450000,42956.14342630000,0.68687774140,0.23427330646
B308-50,0.00006936889,0.28072592106,3.02169657910,29373.91666670000,9626.93055556000,48539.19444440000,43380.20833330000,0.63676852751,0.19251543011
B308-52,0.00009538338,0.38600285329,4.15488351379,29923.43925230000,9568.97196262000,48685.91588790000,44143.14018690000,0.64369407273,0.19198538723
B308-6,0.00006897544,0.27913370047,3.00455812787,29157.63888890000,9731.55555556000,47622.00000000000,41710.59722220000,0.62165053249,0.17713095488
B311-19,0.00003567755,0.14438193050,1.55410794920,31749.17948720000,13005.89743590000,47682.17948720000,38256.76923080000,0.49257819456,0.09295766807
B311-27,0.00003572201,0.14456185241,1.55604460486,35253.12195120000,16789.63414630000,41146.04878050000,32842.04878050000,0.32343079436,-0.03540740327
B316-21,0.00008388496,0.33947039614,3.65401431711,29014.97701150000,8447.18390805000,50315.08045980000,44820.09195400000,0.68283777342,0.21405973021
B316-24,0.00011690523,0.47309869065,5.09237155489,29581.17073170000,9992.70731707000,47202.30894310000,42044.32520330000,0.61593861782,0.17400444226
B316-7,0.00012102584,0.48977418448,5.27186435868,29025.02362200000,9169.56692913000,49758.17322830000,42959.59842520000,0.64819820664,0.19357710587
B318-16,0.00009353516,0.37852335600,4.07437519711,23486.27184470000,6765.08737864000,46920.94174760000,44482.26213590000,0.73598293599,0.30890750560
